sweep_id,sweep_name,seed,img_s,use_warmup,warmup_epochs,acc,nll,ece,cv,gini,overflow,routing_entropy,eeu,nmi,nmi_top1,nmi_topk_soft,router_mode,elbo_samples,use_control_variate,beta_kl,kl_anneal,tau,top_k,capacity,weight_decay,w_importance,w_load,img_s_norm,score
0,kl_exp_no_warmup_beta_0,0,971.6641538388774,False,0,0.5156999826431274,2.0026450157165527,0.10472006350755692,0.46317177709924723,0.20442542631712904,0.2326171875,0.6108739733695984,1.0,0.25844718877325984,0.25844718877325984,0.23787290354444446,expected,2,True,0.0,5000,1.2,2,1.0,0.001,0.0,0.0,0.8719805044118746,-12.423322674507226
2,kl_exp_no_warmup_beta_1e-07,0,966.2772416194093,False,0,0.5013999938964844,2.0433363914489746,0.1116253063082695,0.49192879007604795,0.22974567383324593,0.255078125,0.6077976629137993,1.0,0.25736657035908733,0.25736657035908733,0.23404684804466233,expected,2,True,1e-07,5000,1.2,2,1.0,0.001,0.0,0.0,0.742994434633942,-13.75071706278018
4,kl_exp_no_warmup_beta_1e-06,0,962.7455586612482,False,0,0.5105999708175659,2.051913022994995,0.11345618218183517,0.4009217909485977,0.1809194033592379,0.2208984375,0.6624198272824288,1.0,0.27385897264073056,0.27385897264073056,0.24700501600206243,expected,2,True,1e-06,5000,1.2,2,1.0,0.001,0.0,0.0,0.6584306092148804,-12.026614203586767
6,kl_exp_no_warmup_beta_1e-05,0,975.3753350644124,False,0,0.5128999948501587,2.0441219806671143,0.1150655671954155,0.4093801606973454,0.1830647176411794,0.218359375,0.63756263256073,0.9375,0.2617718366716467,0.2617718366716467,0.23899886509863646,expected,2,True,1e-05,5000,1.2,2,1.0,0.001,0.0,0.0,0.960842297775696,-11.763220873928924
8,kl_exp_no_warmup_beta_0.0001,0,977.0106985184781,False,0,0.5054000020027161,2.0674068927764893,0.1061050146818161,0.48812805428363515,0.22700828293452538,0.2572265625,0.6205809891223908,0.9375,0.258030880121219,0.258030880121219,0.23690285550379303,expected,2,True,0.0001,5000,1.2,2,1.0,0.001,0.0,0.0,1.0,-13.675026955425283
10,kl_exp_warmup_beta_0,0,935.2471791807513,True,10,0.516700029373169,2.0554592609405518,0.12771075963974,0.0695760132428444,0.03733413406543125,0.1462890625,0.8643882274627686,1.0,0.2781746764631509,0.2781746764631509,0.25121458550673537,expected,2,True,0.0,5000,1.2,2,1.0,0.001,0.0,0.0,0.0,-8.554647457607098
12,kl_exp_warmup_beta_1e-07,0,947.0381249640977,True,10,0.5146999955177307,2.0396358966827393,0.1274760365486145,0.07305747818609935,0.040616406966086156,0.14765625,0.8653667226433754,1.0,0.2782624484558708,0.2782624484558708,0.250949909044118,expected,2,True,1e-07,5000,1.2,2,1.0,0.001,0.0,0.0,0.28232644112190836,-8.478225470352433
14,kl_exp_warmup_beta_1e-06,0,946.9945105830989,True,10,0.5099999904632568,2.0617449283599854,0.1263674795627594,0.06837524456250124,0.03845173351461591,0.1380859375,0.8822063475847244,1.0,0.2728953819933681,0.2728953819933681,0.24194296066881824,expected,2,True,1e-06,5000,1.2,2,1.0,0.001,0.0,0.0,0.28128212345686276,-8.009420759611901
16,kl_exp_warmup_beta_1e-05,0,947.6196385509597,True,10,0.5131999850273132,2.057244300842285,0.12281730771064758,0.06854454159738489,0.03855835240274599,0.146484375,0.8844488471746444,1.0,0.28247919087451245,0.28247919087451245,0.24970114951699685,expected,2,True,1e-05,5000,1.2,2,1.0,0.001,0.0,0.0,0.29625040146058357,-8.37549032078698
18,kl_exp_warmup_beta_0.0001,0,943.527142654304,True,10,0.5144000053405762,2.039689779281616,0.12768906354904175,0.05714572804623016,0.03173164097914778,0.13828125,0.8799475356936455,1.0,0.27639492020946677,0.27639492020946677,0.24602795208439213,expected,2,True,0.0001,5000,1.2,2,1.0,0.001,0.0,0.0,0.1982582791118626,-8.045566263536726
