dataset,model,bayes_router_mode,epochs,batch_size,lr,weight_decay,bayes_warmup_epochs,test_acc,test_nll,ece,cv,nmi,overflow,routing_entropy,H_E_norm,H_Y_norm,EAS,DARS,id_mean_conf,id_std_conf,id_n,ood_dataset,ood_mean_conf,ood_std_conf,ood_n
cifar100,bayes,expected,200,64,0.0005,0.001,10,0.5257999897003174,3.538525104522705,0.307892382144928,0.05065772996879881,0.22151036302865276,0.13454999999993272,0.983948086477389,0.9995289069981028,1.0000000000782825,0.9995289069198203,0.6105196349742366,0.8336923718452454,0.21113158762454987,10000,svhn,0.41364535689353943,0.3764408230781555,26032
cifar100,bayes,mc,200,64,0.0005,0.001,20,0.5198000073432922,3.1376290321350098,0.2793152332305908,0.08153052446180371,0.24469308658677047,0.14424999999992788,0.5978160145556092,0.9987963353037528,1.0000000000782825,0.9987963352254703,0.6217447109061204,0.7991151809692383,0.233295738697052,10000,svhn,0.3588659465312958,0.3591235876083374,26032
cifar100,simple,,200,64,0.0005,0.02,0,0.5026000142097473,2.99420166015625,0.2526962161064148,0.6683659040069488,0.18951458476877273,0.09614999999995193,2.228730125791708,0.8711917373690465,1.0000000000782825,0.871191737290764,0.5303531610297684,0.7548332214355469,0.28700289130210876,10000,svhn,0.3822266161441803,0.33361902832984924,26032
cifar100,ec,,200,64,0.0005,0.02,0,0.28439998626708984,3.369450330734253,0.08585111051797867,0.0,1.4997828333045638e-09,0.0,2.359873606141206,1.0000000000102067,1.0000000000782825,0.9999999999319242,0.5000000007158535,0.369875431060791,0.4272613823413849,10000,svhn,0.2195260375738144,0.26646119356155396,26032
cifar100,auxfree,,200,64,0.0005,0.02,0,0.5185999870300293,2.8601207733154297,0.26775407791137695,0.37480620474159115,0.19844811184977923,0.030249999999984872,1.8116493369363675,0.9567065862094312,1.0000000000782825,0.9567065861311487,0.577577348990464,0.7853010296821594,0.241392120718956,10000,svhn,0.4578445553779602,0.32512781023979187,26032
cifar100,base,,200,64,0.0005,0.02,0,0.5202000141143799,2.881234884262085,0.27025341987609863,0.0,0.14697518758608713,0.0,2.1422862687687965,1.0000000000102067,1.0000000000782825,0.9999999999319242,0.5734875937590057,0.7904534339904785,0.23597286641597748,10000,svhn,0.6533858776092529,0.2547138035297394,26032
